Growth rate [1/h],Translation elongation rate [aa/s],Source
1.8,16.7,"Dai et al., 2016"
1.28,16.3,"Dai et al., 2016"
1.12,16.1,"Dai et al., 2016"
0.98,15.9,"Dai et al., 2016"
0.75,14.9,"Dai et al., 2016"
0.69,15,"Dai et al., 2016"
0.69,14.7,"Dai et al., 2016"
0.55,13.7,"Dai et al., 2016"
0.5,13.1,"Dai et al., 2016"
0.46,12.6,"Dai et al., 2016"
0.41,13,"Dai et al., 2016"
0.34,12.4,"Dai et al., 2016"
0.33,12,"Dai et al., 2016"
0.29,12.1,"Dai et al., 2016"
0.23,12.3,"Dai et al., 2016"
0.2,11.6,"Dai et al., 2016"
0.13,10.7,"Dai et al., 2016"
0.04,9.4,"Dai et al., 2016"
1.52,16.2,"Dalbow & Young, 1975"
1.43,16.1,"Dalbow & Young, 1975"
0.9,15.15,"Dalbow & Young, 1975"
0.97,16.5,"Dalbow & Young, 1975"
0.44,13.35,"Dalbow & Young, 1975"
0.43,13.25,"Dalbow & Young, 1975"
1.46,17,"Young & Bremer, 1976"
0.97,17,"Young & Bremer, 1976"
0.49,12,"Young & Bremer, 1976"
1.73,15.92622123,"Forchhammer & Lindahl, 1971"
1.46,14.87955948,"Forchhammer & Lindahl, 1971"
1.04,15.20059606,"Forchhammer & Lindahl, 1971"
0.6,11.61406609,"Forchhammer & Lindahl, 1971"
0.38,8.689024486,"Forchhammer & Lindahl, 1971"
0.42,9.6,"Bremer & Dennis, 2008"
0.69,12.8,"Bremer & Dennis, 2008"
1.04,14.4,"Bremer & Dennis, 2008"
1.39,16,"Bremer & Dennis, 2008"
1.73,16.8,"Bremer & Dennis, 2008"
0.12,12.26459144,"Wu et al., 2021"
0.32,12.87159533,"Wu et al., 2021"
0.34,13.52529183,"Wu et al., 2021"
0.35,13.66536965,"Wu et al., 2021"
0.37,14.41245136,"Wu et al., 2021"
0.46,13.61867704,"Wu et al., 2021"
0.58,15.43968872,"Wu et al., 2021"
0.65,15.95330739,"Wu et al., 2021"
0.68,15.62645914,"Wu et al., 2021"
0.69,15.62645914,"Wu et al., 2021"
0.96,16.14007782,"Wu et al., 2021"
0.55,15,"Kepes & Beguin, 1966"
0.62,14,"Coffman et al., 1971"
1.52,17,"Morris & Hansen, 1973"
0.48,13,"Schleif et al., 1973"
0.52,14.3,"Lacroute & Stent, 1968"
0.82,14.1,"Albertson & Nyström, 1994"
0.83,16,"Dennis & Bremer, 1974"
0.46,10.5,"Dennis & Bremer, 1974"
0.83,17,"Gausing, 1972"
0.86,13,"Schleif, 1967"
1.97,15.7,"Hernandez & Bremer, 1993"
1.6,15.1,"Hernandez & Bremer, 1993"
1.35,15.7,"Hernandez & Bremer, 1993"
0.91,15.4,"Hernandez & Bremer, 1993"
0.41,12,"Hernandez & Bremer, 1993"
0.33,11.5,"Pedersen, 1984"
0.69,13.6,"Pedersen, 1984"
0.99,17,"Pedersen, 1984"
