Growth rate [1/h],Ribosomal mass fraction,Source
1.934,0.272,"Li et al., 2014 - processed by Belliveau and Chure et al., 2021"
1.569,0.198,"Li et al., 2014 - processed by Belliveau and Chure et al., 2022"
0.739,0.124,"Li et al., 2014 - processed by Belliveau and Chure et al., 2023"
0.66,0.118,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2023"
0.3,0.065,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2024"
0.12,0.059,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2025"
0.2,0.063,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2026"
0.35,0.07,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2027"
0.5,0.094,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2028"
0.65,0.121,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2029"
0.42,0.088,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2030"
0.26,0.073,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2031"
0.46,0.098,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2032"
0.58,0.12,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2033"
0.47,0.103,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2034"
1.27,0.148,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2035"
1.9,0.204,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2036"
0.47,0.09,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2037"
0.55,0.104,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2038"
0.63,0.105,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2039"
0.4,0.081,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2040"
0.44,0.095,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2041"
0.55,0.113,"Schmidt et al., 2016  - processed by Belliveau and Chure et al., 2042"
0,0.04,"Dai et al., 2016"
0.033,0.044,"Dai et al., 2016"
0.128,0.055,"Dai et al., 2016"
0.197,0.059,"Dai et al., 2016"
0.231,0.061,"Dai et al., 2016"
0.285,0.067,"Dai et al., 2016"
0.336,0.069,"Dai et al., 2016"
0.407,0.078,"Dai et al., 2016"
0.418,0.077,"Dai et al., 2016"
0.452,0.078,"Dai et al., 2016"
0.486,0.083,"Dai et al., 2016"
0.55,0.086,"Dai et al., 2016"
0.673,0.098,"Dai et al., 2016"
0.686,0.098,"Dai et al., 2016"
0.7,0.098,"Dai et al., 2016"
0.717,0.098,"Dai et al., 2016"
0.744,0.106,"Dai et al., 2016"
0.918,0.115,"Dai et al., 2016"
0.945,0.124,"Dai et al., 2016"
0.993,0.121,"Dai et al., 2016"
0.975,0.134,"Dai et al., 2016"
1.098,0.139,"Dai et al., 2016"
1.162,0.15,"Dai et al., 2016"
1.268,0.165,"Dai et al., 2016"
1.567,0.201,"Dai et al., 2016"
1.795,0.218,"Dai et al., 2016"
0.42,0.091,"Bremer & Dennis, 2008 - processed by Chure and Cremer, 2022"
0.69,0.103,"Bremer & Dennis, 2008 - processed by Chure and Cremer, 2022"
1.04,0.151,"Bremer & Dennis, 2008 - processed by Chure and Cremer, 2022"
1.39,0.178,"Bremer & Dennis, 2008 - processed by Chure and Cremer, 2022"
1.73,0.215,"Bremer & Dennis, 2008 - processed by Chure and Cremer, 2022"
0.38,0.086,"Forchhammer & Lindahl, 1971 - processed by Chure and Cremer, 2022"
0.6,0.102,"Forchhammer & Lindahl, 1971 - processed by Chure and Cremer, 2022"
1.04,0.134,"Forchhammer & Lindahl, 1971 - processed by Chure and Cremer, 2022"
1.46,0.192,"Forchhammer & Lindahl, 1971 - processed by Chure and Cremer, 2022"
1.73,0.214,"Forchhammer & Lindahl, 1971 - processed by Chure and Cremer, 2022"
0.4,0.081,"Scott et al., 2010 - processed by Chure and Cremer, 2022"
0.57,0.105,"Scott et al., 2010 - processed by Chure and Cremer, 2022"
0.71,0.101,"Scott et al., 2010 - processed by Chure and Cremer, 2022"
1,0.131,"Scott et al., 2010 - processed by Chure and Cremer, 2022"
1.31,0.189,"Scott et al., 2010 - processed by Chure and Cremer, 2022"
1.58,0.212,"Scott et al., 2010 - processed by Chure and Cremer, 2022"
0.409,0.077,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.409,0.086,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.492,0.095,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.492,0.1,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.513,0.067,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.478,0.077,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.478,0.081,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.679,0.048,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.866,0.123,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.866,0.135,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.866,0.137,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.943,0.149,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.943,0.163,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
1.428,0.196,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
1.428,0.191,"Brunschede et al., 1977 - processed by Chure and Cremer, 2022"
0.04,0.044,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.135,0.054,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.204,0.059,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.232,0.061,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.293,0.067,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.334,0.069,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.341,0.069,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.381,0.073,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.412,0.079,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.462,0.079,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.502,0.084,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.551,0.088,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.691,0.1,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.72,0.099,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.701,0.104,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.691,0.104,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.75,0.107,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.918,0.116,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.949,0.125,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.989,0.123,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.98,0.135,"Wu et al., 2021 - processed by Chure and Cremer, 2022"
0.13,0.063,"Erickson et al., 2017"
0.19,0.072,"Erickson et al., 2017"
0.61,0.097,"Erickson et al., 2017"
0.91,0.139,"Erickson et al., 2017"
0.91,0.124,"Erickson et al., 2017"
0.62,0.096,"Erickson et al., 2017"
0.79,0.133,"Erickson et al., 2017"
1.04,0.142,"Erickson et al., 2017"
