Growth rate [1/h],Ribosomal mass fraction,Chloramphenicol concentration [nM],Culture medium
0.4,0.0806766,0,M63 + Glycerol
0.33,0.1326378,2,M63 + Glycerol
0.24,0.170925,4,M63 + Glycerol
0.19,0.1887012,8,M63 + Glycerol
0.12,0.2876098,12,M63 + Glycerol
0.57,0.105,0,M63 + Glucose
0.5,0.1381074,2,M63 + Glucose
0.39,0.1691018,4,M63 + Glucose
0.3,0.182,8,M63 + Glucose
0.23,0.2260768,12,M63 + Glucose
0.71,0.1020992,0,cAA + Glycerol
0.57,0.1426654,2,cAA + Glycerol
0.38,0.198273,4,cAA + Glycerol
0.23,0.2155934,8,cAA + Glycerol
0.14,0.2388392,12,cAA + Glycerol
1,0.1308146,0,cAA + Glucose
0.87,0.155,2,cAA + Glucose
0.67,0.1704692,4,cAA + Glucose
0.43,0.2146818,8,cAA + Glucose
0.28,0.2629966,12,cAA + Glucose
1.31,0.1887012,0,RDM + Glycerol
0.9,0.2169608,2,RDM + Glycerol
0.46,0.2816844,4,RDM + Glycerol
0.2,0.325897,8,RDM + Glycerol
0.11,0.357803,12,RDM + Glycerol
1.58,0.2124028,0,RDM + Glucose
1.18,0.228,2,RDM + Glucose
0.89,0.2661872,4,RDM + Glucose
0.31,0.3149578,8,RDM + Glucose
0.13,0.3505102,12,RDM + Glucose
